capital,lower,name,english,abbr,code
?,?,Alpha,a,Alp,\u03B1
?,?,Beta,b,Bet,\u03B2
?,?,Gamma,g,Gam,\u03B3
?,?,Delta,d,Del,\u03B4
?,?,Epsilon,e,Eps,\u03B5
?,?,Zeta,z,Zet,\u03B6
?,?,Eta,h,Eta,\u03B7
?,?,Theta,th,The,\u03B8
?,?,Iota,i,Lot,\u03B9
?,?,Kappa,k,Kap,\u03BA
?,?,Lambda,l,Lam,\u03BB
?,?,Mu,m,Mu ,\u03BC
?,?,Nu,n,Nu ,\u03BD
?,?,Xi,x,Xi ,\u03BE
?,?,Omicron,o,Omi,\u03BF
?,?,Pi,p,Pi ,\u03C0
?,?,Rho,r,Rho,\u03C1
?,?,Sigma,s,Sig,\u03C3
?,?,Tau,t,Tau,\u03C4
?,?,Upsilon,u,Ups,\u03C5
?,?,Phi,ph,Phi,\u03C6
?,?,Chi,ch,Chi,\u03C7
?,?,Psi,ps,Psi,\u03C8
?,?,Omega,o,Ome,\u03C9
